# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Bucklin,20,5,0,10000,0.4111111111111111,1.0124299372336703,0.78
Bucklin,20,5,0,10000,0.48888888888888893,1.0125803110624143,0.7772
Bucklin,20,5,0,10000,0.5666666666666667,1.0126481836032948,0.7811
Bucklin,20,5,0,10000,0.6444444444444445,1.0122877765976839,0.7874
Bucklin,20,5,0,10000,0.7222222222222222,1.0122963892297407,0.7845
Bucklin,20,5,0,10000,0.8,1.0120631660364432,0.7855
Maximin,20,5,0,10000,0.1,1.0057937554258802,0.8598
Maximin,20,5,0,10000,0.17777777777777778,1.0062607347404382,0.8537
Maximin,20,5,0,10000,0.25555555555555554,1.0062806578501844,0.8496
Maximin,20,5,0,10000,0.33333333333333337,1.0060177333092755,0.854
Maximin,20,5,0,10000,0.4111111111111111,1.0061903771772944,0.8533
Maximin,20,5,0,10000,0.48888888888888893,1.0060950582020145,0.8537
Maximin,20,5,0,10000,0.5666666666666667,1.0060839235817902,0.8515
Maximin,20,5,0,10000,0.6444444444444445,1.0061195645259136,0.8548
Maximin,20,5,0,10000,0.7222222222222222,1.0062548279192187,0.8482
Maximin,20,5,0,10000,0.8,1.0059854985291792,0.8525
Ranked Pairs,20,5,0,10000,0.1,1.006128559482826,0.8547
Ranked Pairs,20,5,0,10000,0.17777777777777778,1.0058782947909468,0.8631
Ranked Pairs,20,5,0,10000,0.25555555555555554,1.005851906816332,0.8532
Ranked Pairs,20,5,0,10000,0.33333333333333337,1.0056673056325398,0.8556
Ranked Pairs,20,5,0,10000,0.4111111111111111,1.0059794097495118,0.8601
Ranked Pairs,20,5,0,10000,0.48888888888888893,1.006345320364588,0.8479
Ranked Pairs,20,5,0,10000,0.5666666666666667,1.006035958952756,0.8529
Ranked Pairs,20,5,0,10000,0.6444444444444445,1.0062023578918866,0.8485
Ranked Pairs,20,5,0,10000,0.7222222222222222,1.0062625097345037,0.8544
Ranked Pairs,20,5,0,10000,0.8,1.006023202269642,0.8578
Copeland,20,5,0,10000,0.1,1.0059125402739542,0.8605
Copeland,20,5,0,10000,0.17777777777777778,1.0059212047223165,0.859
Copeland,20,5,0,10000,0.25555555555555554,1.0061143969996817,0.853
Copeland,20,5,0,10000,0.33333333333333337,1.0056141383598698,0.8624
Copeland,20,5,0,10000,0.4111111111111111,1.0057894882009881,0.8596
Copeland,20,5,0,10000,0.48888888888888893,1.0055707448106979,0.858
Copeland,20,5,0,10000,0.5666666666666667,1.0060821430149525,0.8541
Copeland,20,5,0,10000,0.6444444444444445,1.0058911555209158,0.8558
Copeland,20,5,0,10000,0.7222222222222222,1.0058888142176536,0.8593
Copeland,20,5,0,10000,0.8,1.005897449927894,0.855
Borda,20,5,0,10000,0.1,1.0081758358764732,0.8343
Borda,20,5,0,10000,0.17777777777777778,1.0077952232495568,0.8391
Borda,20,5,0,10000,0.25555555555555554,1.0076772094174706,0.8383
Borda,20,5,0,10000,0.33333333333333337,1.0074041642929898,0.8418
Borda,20,5,0,10000,0.4111111111111111,1.007832729205365,0.8414
Borda,20,5,0,10000,0.48888888888888893,1.00791912029058,0.841
Borda,20,5,0,10000,0.5666666666666667,1.0075968240746138,0.8495
Borda,20,5,0,10000,0.6444444444444445,1.0075222767282703,0.8371
Borda,20,5,0,10000,0.7222222222222222,1.007872283874156,0.8383
Borda,20,5,0,10000,0.8,1.0076541482403782,0.8445
Random Voter Utility,20,5,0,10000,0.1,1.0125362623004774,0.7889
Random Voter Utility,20,5,0,10000,0.17777777777777778,1.0124414851211667,0.7831
Random Voter Utility,20,5,0,10000,0.25555555555555554,1.0118364316227109,0.795
Random Voter Utility,20,5,0,10000,0.33333333333333337,1.0123936186554088,0.7823
Random Voter Utility,20,5,0,10000,0.4111111111111111,1.0134065065963158,0.7796
Random Voter Utility,20,5,0,10000,0.48888888888888893,1.0117827638022188,0.7947
Random Voter Utility,20,5,0,10000,0.5666666666666667,1.0130415990638246,0.7818
Random Voter Utility,20,5,0,10000,0.6444444444444445,1.0124684907145702,0.7955
Random Voter Utility,20,5,0,10000,0.7222222222222222,1.0124219007448292,0.7925
Random Voter Utility,20,5,0,10000,0.8,1.0128747530889441,0.7813
