# rule,n_voters,n_relevant_candidates,n_irrelevant_candidates,n_tries,parameter,distortion,accuracy
Half approval,20,5,5,10000,0.25555555555555554,1.0198185890827731,0.7276
Half approval,20,5,5,10000,0.33333333333333337,1.0195505710841455,0.731
Half approval,20,5,5,10000,0.4111111111111111,1.0195198392314555,0.7204
Half approval,20,5,5,10000,0.48888888888888893,1.019592681317367,0.7262
Half approval,20,5,5,10000,0.5666666666666667,1.0183312323201834,0.735
Half approval,20,5,5,10000,0.6444444444444445,1.0189049944112705,0.7364
Half approval,20,5,5,10000,0.7222222222222222,1.0185799209728037,0.7278
Half approval,20,5,5,10000,0.8,1.0190703068423599,0.7337
Bucklin,20,5,5,10000,0.1,1.0119732029846378,0.7764
Bucklin,20,5,5,10000,0.17777777777777778,1.0118610124738359,0.7855
Bucklin,20,5,5,10000,0.25555555555555554,1.0118021555750587,0.7831
Bucklin,20,5,5,10000,0.33333333333333337,1.0111111878640808,0.7876
Bucklin,20,5,5,10000,0.4111111111111111,1.011481985289397,0.787
Bucklin,20,5,5,10000,0.48888888888888893,1.0115812226592056,0.7889
Bucklin,20,5,5,10000,0.5666666666666667,1.0116418867611199,0.7875
Bucklin,20,5,5,10000,0.6444444444444445,1.0120258109696691,0.7772
Bucklin,20,5,5,10000,0.7222222222222222,1.0120641277662246,0.7807
Bucklin,20,5,5,10000,0.8,1.0116935629289547,0.7831
Maximin,20,5,5,10000,0.1,1.0063578033817484,0.7895
Maximin,20,5,5,10000,0.17777777777777778,1.006439550704031,0.7918
Maximin,20,5,5,10000,0.25555555555555554,1.0063987297972992,0.7844
Maximin,20,5,5,10000,0.33333333333333337,1.006279266202235,0.7877
Maximin,20,5,5,10000,0.4111111111111111,1.006547620592101,0.7883
Maximin,20,5,5,10000,0.48888888888888893,1.0060614685315243,0.7964
Maximin,20,5,5,10000,0.5666666666666667,1.00603152314201,0.7977
Maximin,20,5,5,10000,0.6444444444444445,1.0063586611533475,0.7907
Maximin,20,5,5,10000,0.7222222222222222,1.006381948766635,0.7846
Maximin,20,5,5,10000,0.8,1.0063132591368231,0.7915
Ranked Pairs,20,5,5,10000,0.1,1.0054007726040473,0.8708
Ranked Pairs,20,5,5,10000,0.17777777777777778,1.0049070644612093,0.8705
Ranked Pairs,20,5,5,10000,0.25555555555555554,1.0050801639336102,0.8669
Ranked Pairs,20,5,5,10000,0.33333333333333337,1.0052242371234619,0.8675
Ranked Pairs,20,5,5,10000,0.4111111111111111,1.0056243769852022,0.8584
Ranked Pairs,20,5,5,10000,0.48888888888888893,1.0057079620236835,0.8641
Ranked Pairs,20,5,5,10000,0.5666666666666667,1.0059105089585207,0.8629
Ranked Pairs,20,5,5,10000,0.6444444444444445,1.005382515435269,0.8625
Ranked Pairs,20,5,5,10000,0.7222222222222222,1.0053603592225606,0.8669
Ranked Pairs,20,5,5,10000,0.8,1.0059740941088462,0.8646
Copeland,20,5,5,10000,0.1,1.0046712216882656,0.8723
Copeland,20,5,5,10000,0.17777777777777778,1.0042969077695802,0.8755
Copeland,20,5,5,10000,0.25555555555555554,1.0047320695724322,0.871
Copeland,20,5,5,10000,0.33333333333333337,1.0042591098389795,0.8755
Copeland,20,5,5,10000,0.4111111111111111,1.0044813278302127,0.8703
Copeland,20,5,5,10000,0.48888888888888893,1.0045753781005209,0.8683
Copeland,20,5,5,10000,0.5666666666666667,1.0047619661409795,0.8657
Copeland,20,5,5,10000,0.6444444444444445,1.0044438877460402,0.8684
Copeland,20,5,5,10000,0.7222222222222222,1.0044365333534808,0.8727
Copeland,20,5,5,10000,0.8,1.0048599650090588,0.8645
Borda,20,5,5,10000,0.1,1.0043276409123265,0.876
Borda,20,5,5,10000,0.17777777777777778,1.0046149462423197,0.8681
Borda,20,5,5,10000,0.25555555555555554,1.0046806804057424,0.8711
Borda,20,5,5,10000,0.33333333333333337,1.0044736413672322,0.868
Borda,20,5,5,10000,0.4111111111111111,1.0047360315142537,0.8688
Borda,20,5,5,10000,0.48888888888888893,1.0045560660518336,0.8706
Borda,20,5,5,10000,0.5666666666666667,1.0046672319070424,0.8661
Borda,20,5,5,10000,0.6444444444444445,1.0046860291557407,0.8687
Borda,20,5,5,10000,0.7222222222222222,1.0044973542689262,0.8732
Borda,20,5,5,10000,0.8,1.0045879408691212,0.869
Random Voter Utility,20,5,5,10000,0.1,1.0074998844992304,0.8333
Random Voter Utility,20,5,5,10000,0.17777777777777778,1.0070653852842517,0.8341
Random Voter Utility,20,5,5,10000,0.25555555555555554,1.0070461736740886,0.8393
Random Voter Utility,20,5,5,10000,0.33333333333333337,1.0069006657699566,0.8369
Random Voter Utility,20,5,5,10000,0.4111111111111111,1.0076817540117078,0.8346
Random Voter Utility,20,5,5,10000,0.48888888888888893,1.007450061036335,0.8294
Random Voter Utility,20,5,5,10000,0.5666666666666667,1.0074590921140965,0.8304
Random Voter Utility,20,5,5,10000,0.6444444444444445,1.007770611535953,0.8296
Random Voter Utility,20,5,5,10000,0.7222222222222222,1.007027077546127,0.8351
Random Voter Utility,20,5,5,10000,0.8,1.0075186430029006,0.8294
